"animal_id","current_age","datetime","age_upon_intake_1","found_location","intake_type","intake_condition","animal_type","neutered","sex","breed","color","adopted","outcome_subtype","outcome_type","datetime_left","date_of_birth","age_upon_outcome_1"
"A647169",12.0,12/2/13 2:03 PM,2.0,"13785 Research Blvd in Austin (TX)","Stray","Normal","Dog","Neutered","Male","German Shepherd Mix","Black/Tan","false",,"Return to Owner",12/2/13 3:37 PM,"2011-08-05",2.0
"A647176",11.0,2/16/14 1:08 PM,2.0,"Mlk And 183 in Austin (TX)","Stray","Normal","Dog","Intact","Female","Pit Bull Mix","Blue Cream/White","false",,"Return to Owner",2/19/14 4:56 PM,"2012-02-05",2.0
"A647210",12.0,7/9/14 3:53 PM,3.0,"6524 Alum Rock Cv. in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown Brindle/White","false","Medical","Euthanasia",7/20/14 12:06 PM,"2011-02-06",3.0
"A647238",13.0,12/14/13 2:50 PM,3.0,"Outside Jurisdiction","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Black","false","Partner","Transfer",12/26/13 1:34 PM,"2010-08-06",3.0
"A647241",12.0,10/9/16 3:57 PM,5.0,"William Cannon And I 35 in Austin (TX)","Stray","Normal","Dog","Intact","Male","German Shepherd Mix","Black","false",,"Return to Owner",10/9/16 5:38 PM,"2011-10-09",5.0
"A647338",10.0,2/26/15 9:32 AM,2.0,"2330 E 2Nd in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","White/Red","false",,"Return to Owner",1/30/15 11:24 AM,"2012-08-08",2.0
"A647338",10.0,2/26/15 9:32 AM,2.0,"2330 E 2Nd in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","White/Red","false","Partner","Transfer",10/1/15 12:33 PM,"2012-08-08",3.0
"A647338",10.0,1/30/15 11:02 AM,2.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Pit Bull Mix","White/Red","false",,"Return to Owner",1/30/15 11:24 AM,"2012-08-08",2.0
"A647338",10.0,1/30/15 11:02 AM,2.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Pit Bull Mix","White/Red","false","Partner","Transfer",10/1/15 12:33 PM,"2012-08-08",3.0
"A647355",16.0,12/6/14 1:57 PM,7.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Boxer","Brown Brindle/White","false","Aggressive","Euthanasia",12/8/14 11:47 AM,"2007-12-03",7.0
"A647355",16.0,12/6/14 1:57 PM,7.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Boxer","Brown Brindle/White","false",,"Return to Owner",12/3/14 5:12 PM,"2007-12-03",7.0
"A647355",15.0,11/22/14 2:24 PM,6.0,"8900 Springlake Dr in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Boxer","Brown Brindle/White","false","Aggressive","Euthanasia",12/8/14 11:47 AM,"2007-12-03",7.0
"A647355",15.0,11/22/14 2:24 PM,6.0,"8900 Springlake Dr in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Boxer","Brown Brindle/White","false",,"Return to Owner",12/3/14 5:12 PM,"2007-12-03",7.0
"A647363",10.0,1/26/15 12:34 PM,2.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false","Partner","Transfer",1/28/15 4:20 PM,"2012-11-09",2.0
"A647363",10.0,1/26/15 12:34 PM,2.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",9/30/14 5:25 PM,"2012-11-09",0.0
"A647363",10.0,1/26/15 12:34 PM,2.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/14/14 2:09 PM,"2012-11-09",2.0
"A647363",10.0,1/26/15 12:34 PM,2.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/20/14 5:38 PM,"2012-11-09",2.0
"A647363",9.0,9/27/14 10:40 AM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false","Partner","Transfer",1/28/15 4:20 PM,"2012-11-09",2.0
"A647363",9.0,9/27/14 10:40 AM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",9/30/14 5:25 PM,"2012-11-09",0.0
"A647363",9.0,9/27/14 10:40 AM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/14/14 2:09 PM,"2012-11-09",2.0
"A647363",9.0,9/27/14 10:40 AM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/20/14 5:38 PM,"2012-11-09",2.0
"A647363",11.0,11/20/14 10:47 AM,2.0,"4710 Harmon Ave in Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false","Partner","Transfer",1/28/15 4:20 PM,"2012-11-09",2.0
"A647363",11.0,11/20/14 10:47 AM,2.0,"4710 Harmon Ave in Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",9/30/14 5:25 PM,"2012-11-09",0.0
"A647363",11.0,11/20/14 10:47 AM,2.0,"4710 Harmon Ave in Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/14/14 2:09 PM,"2012-11-09",2.0
"A647363",11.0,11/20/14 10:47 AM,2.0,"4710 Harmon Ave in Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/20/14 5:38 PM,"2012-11-09",2.0
"A647363",11.0,11/14/14 1:39 PM,2.0,"Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false","Partner","Transfer",1/28/15 4:20 PM,"2012-11-09",2.0
"A647363",11.0,11/14/14 1:39 PM,2.0,"Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",9/30/14 5:25 PM,"2012-11-09",0.0
"A647363",11.0,11/14/14 1:39 PM,2.0,"Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/14/14 2:09 PM,"2012-11-09",2.0
"A647363",11.0,11/14/14 1:39 PM,2.0,"Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","White/Red","false",,"Return to Owner",11/20/14 5:38 PM,"2012-11-09",2.0
"A647398",14.0,11/4/14 8:16 AM,5.0,"3309 Peavy Dr in Travis (TX)","Stray","Aged","Dog","Neutered","Male","Pit Bull Mix","Blue/White","false",,"Return to Owner",11/6/14 7:10 PM,"2009-02-09",5.0
"A647452",15.0,5/3/14 11:48 AM,6.0,"9201 Scenic Bluff Dr in West Lake Hills (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Black/White","false",,"Return to Owner",5/4/14 3:08 PM,"2008-02-11",6.0
"A647481",10.0,2/5/17 4:02 PM,4.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Belgian Malinois/Australian Shepherd","Brown/White","false","Partner","Transfer",2/20/17 12:00 AM,"2012-02-11",5.0
"A647489",11.0,7/3/16 8:11 AM,4.0,"Dittmar & Manchaca in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Pit Bull","Red","false",,"Return to Owner",5/9/16 2:50 PM,"2012-02-11",4.0
"A647489",11.0,7/3/16 8:11 AM,4.0,"Dittmar & Manchaca in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Pit Bull","Red","false",,"Return to Owner",7/3/16 12:00 AM,"2012-02-11",4.0
"A647489",11.0,5/9/16 12:27 PM,4.0,"Manchaca Rd And W Slaughter Ln in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Pit Bull","Red","false",,"Return to Owner",5/9/16 2:50 PM,"2012-02-11",4.0
"A647489",11.0,5/9/16 12:27 PM,4.0,"Manchaca Rd And W Slaughter Ln in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Pit Bull","Red","false",,"Return to Owner",7/3/16 12:00 AM,"2012-02-11",4.0
"A647491",14.0,9/5/14 9:18 AM,5.0,"2700 Block Of Lyons in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","false",,"Return to Owner",8/20/14 12:06 PM,"2009-02-11",5.0
"A647491",14.0,9/5/14 9:18 AM,5.0,"2700 Block Of Lyons in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","true",,"Adoption",9/14/14 1:11 PM,"2009-02-11",5.0
"A647491",14.0,9/5/14 9:18 AM,5.0,"2700 Block Of Lyons in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","false","Partner","Transfer",9/23/14 2:55 PM,"2009-02-11",5.0
"A647491",14.0,9/21/14 10:41 AM,5.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","false",,"Return to Owner",8/20/14 12:06 PM,"2009-02-11",5.0
"A647491",14.0,9/21/14 10:41 AM,5.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","true",,"Adoption",9/14/14 1:11 PM,"2009-02-11",5.0
"A647491",14.0,9/21/14 10:41 AM,5.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","false","Partner","Transfer",9/23/14 2:55 PM,"2009-02-11",5.0
"A647491",14.0,8/20/14 11:35 AM,5.0,"East 12Th & Chestnut in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","false",,"Return to Owner",8/20/14 12:06 PM,"2009-02-11",5.0
"A647491",14.0,8/20/14 11:35 AM,5.0,"East 12Th & Chestnut in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","true",,"Adoption",9/14/14 1:11 PM,"2009-02-11",5.0
"A647491",14.0,8/20/14 11:35 AM,5.0,"East 12Th & Chestnut in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Lhasa Apso Mix","Black/White","false","Partner","Transfer",9/23/14 2:55 PM,"2009-02-11",5.0
"A647492",14.0,4/6/15 8:36 PM,6.0,"8710 Dittmar Oaks Dr in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Blue Lacy Mix","Fawn/White","false","Aggressive","Euthanasia",4/19/15 4:21 PM,"2009-02-11",6.0
"A647492",14.0,4/6/15 8:36 PM,6.0,"8710 Dittmar Oaks Dr in Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Blue Lacy Mix","Fawn/White","false",,"Return to Owner",3/23/15 1:12 PM,"2009-02-11",6.0
"A647492",14.0,3/12/15 3:05 PM,6.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Blue Lacy Mix","Fawn/White","false","Aggressive","Euthanasia",4/19/15 4:21 PM,"2009-02-11",6.0
"A647492",14.0,3/12/15 3:05 PM,6.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Blue Lacy Mix","Fawn/White","false",,"Return to Owner",3/23/15 1:12 PM,"2009-02-11",6.0
"A647509",10.0,10/3/16 5:17 PM,3.0,"Travis (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Labrador Retriever Mix","Red","false","Foster","Adoption",12/3/16 12:59 PM,"2012-11-12",4.0
"A647523",15.0,8/5/14 2:58 PM,6.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Labrador Retriever Mix","Black/Brown Brindle","false","Partner","Transfer",8/12/14 4:30 PM,"2008-02-12",6.0
"A647530",12.0,5/3/16 4:11 PM,5.0,"20300 Trappers Trl in Travis (TX)","Stray","Normal","Dog","Neutered","Male","Bluetick Hound/Australian Cattle Dog","Brown Merle/White","true",,"Adoption",5/10/16 10:14 PM,"2011-02-12",5.0
"A647531",14.0,2/17/14 10:44 AM,5.0,"E 5Th St And Chicon in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Australian Cattle Dog/Cairn Terrier","White/Black","false",,"Return to Owner",2/17/14 5:33 PM,"2009-02-17",5.0
"A647531",14.0,2/17/14 10:44 AM,5.0,"E 5Th St And Chicon in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Australian Cattle Dog/Cairn Terrier","White/Black","false",,"Return to Owner",2/29/16 12:04 PM,"2009-02-17",7.0
"A647531",14.0,2/28/16 6:54 PM,7.0,"Suffolk Dr And Nassau Dr in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Australian Cattle Dog/Cairn Terrier","White/Black","false",,"Return to Owner",2/17/14 5:33 PM,"2009-02-17",5.0
"A647531",14.0,2/28/16 6:54 PM,7.0,"Suffolk Dr And Nassau Dr in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Australian Cattle Dog/Cairn Terrier","White/Black","false",,"Return to Owner",2/29/16 12:04 PM,"2009-02-17",7.0
"A647538",12.0,5/27/15 5:07 PM,4.0,"13730 Spring Heath in Travis (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown Brindle/White","false","Aggressive","Euthanasia",5/28/15 10:09 AM,"2011-02-12",4.0
"A647578",13.0,9/15/14 11:48 PM,4.0,"11903 Shropshire Blvd in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Pit Bull Mix","White","false","Court/Investigation","Euthanasia",9/26/14 2:12 PM,"2010-02-17",4.0
"A647580",11.0,9/4/14 2:55 PM,2.0,"8801 N 620 #1333 in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Catahoula Mix","White/Black","false",,"Return to Owner",9/5/14 12:26 PM,"2012-02-13",2.0
"A647646",11.0,8/6/16 1:23 PM,4.0,"4509 Aristocrat Dr in Travis (TX)","Public Assist","Normal","Dog","Neutered","Male","Australian Cattle Dog Mix","Black/Gray","false",,"Return to Owner",8/17/16 1:57 PM,"2012-02-14",4.0
"A647710",10.0,11/15/13 2:45 PM,0.0,"1120B Brookswood Ave. in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Australian Shepherd/Greyhound","Brown Merle","true",,"Adoption",12/1/13 3:09 PM,"2013-02-14",0.0
"A647713",20.0,1/13/14 12:25 PM,11.0,"Parmer And Metric in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","true","Offsite","Adoption",10/4/14 5:00 PM,"2002-02-15",12.0
"A647713",20.0,1/13/14 12:25 PM,11.0,"Parmer And Metric in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","true",,"Adoption",1/22/14 12:47 PM,"2002-02-15",11.0
"A647713",20.0,1/13/14 12:25 PM,11.0,"Parmer And Metric in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","false",,"Return to Owner",1/13/14 5:59 PM,"2002-02-15",11.0
"A647713",20.0,1/20/14 5:29 PM,11.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","true","Offsite","Adoption",10/4/14 5:00 PM,"2002-02-15",12.0
"A647713",20.0,1/20/14 5:29 PM,11.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","true",,"Adoption",1/22/14 12:47 PM,"2002-02-15",11.0
"A647713",20.0,1/20/14 5:29 PM,11.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","false",,"Return to Owner",1/13/14 5:59 PM,"2002-02-15",11.0
"A647713",21.0,9/19/14 11:15 AM,12.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","true","Offsite","Adoption",10/4/14 5:00 PM,"2002-02-15",12.0
"A647713",21.0,9/19/14 11:15 AM,12.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","true",,"Adoption",1/22/14 12:47 PM,"2002-02-15",11.0
"A647713",21.0,9/19/14 11:15 AM,12.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Chihuahua Shorthair Mix","Chocolate","false",,"Return to Owner",1/13/14 5:59 PM,"2002-02-15",11.0
"A647730",10.0,2/7/17 1:52 PM,4.0,"Williamson (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Australian Cattle Dog Mix","Red Merle","false","Partner","Transfer",2/13/17 12:00 AM,"2012-08-04",4.0
"A647791",11.0,7/23/15 11:06 AM,3.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Siberian Husky Mix","Tricolor","true",,"Adoption",7/28/15 6:52 PM,"2012-04-15",3.0
"A647839",17.0,5/22/15 2:28 PM,9.0,"Twin Crest Dr & E Croslin St in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Chocolate/White","false","Partner","Transfer",5/27/15 2:21 PM,"2006-02-16",9.0
"A647854",10.0,12/18/13 1:20 PM,0.0,"3317 Taylor Falls Dr in Pflugerville (TX)","Stray","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Tan","true",,"Adoption",12/23/13 12:00 PM,"2013-01-04",0.0
"A647859",20.0,5/15/15 1:36 PM,12.0,"8700 United Kingdom Drive in Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Dachshund Mix","Black/Black Brindle","false","Partner","Transfer",5/25/15 2:20 PM,"2003-02-18",12.0
"A647884",9.0,10/28/14 2:04 PM,0.0,"6400 Del Monte in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","Black/White","false",,"Return to Owner",10/28/14 2:11 PM,"2013-02-17",0.0
"A647886",18.0,3/22/15 4:24 PM,10.0,"Circuit Of Americas in Austin (TX)","Stray","Normal","Dog","Intact","Female","Staffordshire Mix","Red/White","false","Medical","Euthanasia",3/26/15 12:25 PM,"2005-02-17",10.0
"A647890",12.0,9/24/16 3:02 PM,5.0,"Austin (TX)","Owner Surrender","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Brown Tabby/White","false",,"Return to Owner",9/28/16 1:51 PM,"2011-02-17",5.0
"A647894",15.0,10/19/13 10:30 AM,5.0,"Bolm Rd And Airport Blvd in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Boxer Mix","Tan/White","true",,"Adoption",11/10/13 5:41 PM,"2008-03-08",5.0
"A647945",14.0,12/16/15 4:40 PM,6.0,"12815 Sexson Ridge Ln in Austin (TX)","Stray","Normal","Dog","Neutered","Male","German Shepherd","Black/Tan","false",,"Return to Owner",12/16/15 5:19 PM,"2009-02-18",6.0
"A647968",11.0,3/27/15 5:28 PM,3.0,"1812 E 20Th St in Austin (TX)","Stray","Injured","Cat","Neutered","Male","Domestic Shorthair Mix","Brown Tabby/White","false","Partner","Transfer",4/20/15 2:08 PM,"2011-08-18",3.0
"A647973",12.0,10/5/16 6:32 AM,5.0,"4434 Frontier Trail in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Pit Bull Mix","Tan/White","false",,"Return to Owner",10/5/16 11:57 AM,"2011-02-18",5.0
"A647985",12.0,2/19/17 3:58 PM,6.0,"Travis (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Black/Brown",,,,,,
"A648012",9.0,1/9/14 6:01 PM,0.0,"E 11Th St in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","White/Yellow Brindle","false",,"Return to Owner",1/14/14 1:59 PM,"2012-02-19",0.0
"A648029",10.0,4/2/16 3:09 PM,3.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Anatol Shepherd/Kangal","Fawn/Black","false",,"Return to Owner",4/9/16 12:33 PM,"2012-07-20",3.0
"A648044",9.0,3/22/14 11:06 AM,0.0,"Hamilton Point Cir & Jaron Dr in Manor (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Black","true",,"Adoption",4/3/14 3:37 PM,"2012-08-20",0.0
"A648051",9.0,8/25/14 12:03 PM,0.0,"11500 Blck Hereford St in Manor (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown/White","false",,"Return to Owner",9/25/14 6:48 PM,"2012-11-18",0.0
"A648051",9.0,8/25/14 12:03 PM,0.0,"11500 Blck Hereford St in Manor (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown/White","false","Partner","Transfer",11/23/14 3:58 PM,"2012-11-18",2.0
"A648051",9.0,11/14/14 2:38 PM,0.0,"11411 La Poynor St in Manor (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown/White","false",,"Return to Owner",9/25/14 6:48 PM,"2012-11-18",0.0
"A648051",9.0,11/14/14 2:38 PM,0.0,"11411 La Poynor St in Manor (TX)","Stray","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown/White","false","Partner","Transfer",11/23/14 3:58 PM,"2012-11-18",2.0
"A648065",11.0,5/23/15 2:52 PM,3.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Basset Hound Mix","White/Brown","false","Rabies Risk","Euthanasia",5/24/15 10:58 AM,"2012-02-22",3.0
"A648080",12.0,3/7/14 12:31 PM,3.0,"Riverside Dr And Kenwood Ave in Austin (TX)","Stray","Normal","Cat","Neutered","Male","Domestic Shorthair Mix","Brown Tabby","false",,"Return to Owner",3/8/14 1:26 PM,"2011-02-20",3.0
"A648086",9.0,5/23/14 11:58 AM,0.0,"6911 Wentworth Dr in Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","American Pit Bull Terrier Mix","White/Black","false","Rabies Risk","Euthanasia",5/23/14 4:41 PM,"2012-09-05",0.0
"A648094",10.0,6/28/16 11:13 AM,3.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Dachshund/Chihuahua Shorthair","Red","true",,"Adoption",7/21/16 6:58 PM,"2012-11-21",3.0
"A648134",10.0,10/3/13 2:07 PM,0.0,"724 Eberhart in Austin (TX)","Stray","Injured","Dog","Neutered","Female","Labrador Retriever Mix","Black/White","true",,"Adoption",11/9/13 11:28 AM,"2012-04-22",0.0
"A648134",10.0,10/3/13 2:07 PM,0.0,"724 Eberhart in Austin (TX)","Stray","Injured","Dog","Neutered","Female","Labrador Retriever Mix","Black/White","true",,"Adoption",11/21/13 4:21 PM,"2012-04-22",0.0
"A648134",10.0,11/14/13 12:56 PM,0.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Black/White","true",,"Adoption",11/9/13 11:28 AM,"2012-04-22",0.0
"A648134",10.0,11/14/13 12:56 PM,0.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Black/White","true",,"Adoption",11/21/13 4:21 PM,"2012-04-22",0.0
"A648138",10.0,11/18/13 11:03 AM,0.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Red","true",,"Adoption",11/24/13 11:41 AM,"2012-12-22",0.0
"A648161",16.0,3/31/15 1:17 PM,8.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Bullmastiff/Boxer","Brown/White","false",,"Return to Owner",4/10/15 12:09 PM,"2007-02-26",8.0
"A648168",16.0,1/17/16 3:04 PM,9.0,"Austin (TX)","Stray","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Tan","true",,"Adoption",12/2/15 12:42 PM,"2006-03-23",9.0
"A648168",16.0,1/17/16 3:04 PM,9.0,"Austin (TX)","Stray","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Tan","false","Foster","Adoption",2/4/16 3:00 PM,"2006-03-23",9.0
"A648168",17.0,11/4/15 11:03 AM,9.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Tan","true",,"Adoption",12/2/15 12:42 PM,"2006-03-23",9.0
"A648168",17.0,11/4/15 11:03 AM,9.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Chihuahua Shorthair Mix","Tan","false","Foster","Adoption",2/4/16 3:00 PM,"2006-03-23",9.0
"A648228",12.0,11/12/13 11:53 AM,2.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Pit Bull Mix","White/Black","true",,"Adoption",1/25/14 6:04 PM,"2011-02-23",2.0
"A648236",9.0,2/15/14 5:19 PM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Australian Cattle Dog Mix","Red Tick/White","false",,"Return to Owner",1/10/14 3:19 PM,"2012-04-24",0.0
"A648236",9.0,2/15/14 5:19 PM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Australian Cattle Dog Mix","Red Tick/White","false",,"Return to Owner",2/26/14 4:50 PM,"2012-04-24",0.0
"A648236",10.0,12/29/13 4:42 PM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Australian Cattle Dog Mix","Red Tick/White","false",,"Return to Owner",1/10/14 3:19 PM,"2012-04-24",0.0
"A648236",10.0,12/29/13 4:42 PM,0.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Australian Cattle Dog Mix","Red Tick/White","false",,"Return to Owner",2/26/14 4:50 PM,"2012-04-24",0.0
"A648243",11.0,11/27/14 2:54 PM,2.0,"9601 Middle Fiskville in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Miniature Schnauzer/Cairn Terrier","Gray/Silver","false",,"Return to Owner",12/7/14 12:12 PM,"2012-02-24",2.0
"A648300",13.0,12/9/14 6:40 PM,4.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Cane Corso Mix","Blue","true",,"Adoption",2/6/14 2:58 PM,"2010-03-06",3.0
"A648300",13.0,12/9/14 6:40 PM,4.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Cane Corso Mix","Blue","false","Partner","Transfer",8/18/14 11:13 AM,"2010-03-06",4.0
"A648300",13.0,12/9/14 6:40 PM,4.0,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Cane Corso Mix","Blue","false",,"Return to Owner",12/21/14 11:47 AM,"2010-03-06",4.0
"A648300",13.0,8/14/14 3:53 PM,4.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Cane Corso Mix","Blue","true",,"Adoption",2/6/14 2:58 PM,"2010-03-06",3.0
"A648300",13.0,8/14/14 3:53 PM,4.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Cane Corso Mix","Blue","false","Partner","Transfer",8/18/14 11:13 AM,"2010-03-06",4.0
"A648300",13.0,8/14/14 3:53 PM,4.0,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Cane Corso Mix","Blue","false",,"Return to Owner",12/21/14 11:47 AM,"2010-03-06",4.0
"A648320",12.0,7/29/14 4:34 PM,3.0,"6405 S Ih 35 in Austin (TX)","Stray","Normal","Dog","Intact","Female","Pit Bull/Bulldog","Brown/White","false",,"Return to Owner",8/3/14 5:41 PM,"2011-02-25",3.0
"A648331",9.0,1/29/14 11:02 AM,0.0,"5608 Cougar Dr in Austin (TX)","Stray","Normal","Dog","Neutered","Male","Dachshund Mix","Tan/White","false",,"Return to Owner",1/30/14 5:39 PM,"2012-12-25",0.0
