"last_recorded_age","birth_year","animal_id","datetime","found_location","intake_type","intake_condition","animal_type","neutered","sex","breed","color","adopted"
1.0,2013.0,"A667184",11/14/13 10:33 AM,"Ih-35/Slaughter Ln in Austin (TX)","Stray","Normal","Dog","Intact","Male","Belgian Malinois Mix","Tan/Cream","false"
-1.0,2014.0,"A667184",2/28/14 6:39 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Belgian Malinois Mix","Tan/Cream","true"
0.0,2014.0,"A667184",2/28/14 6:39 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Belgian Malinois Mix","Tan/Cream","false"
2.0,2011.0,"A667185",11/14/13 10:58 AM,"5800 Belmoor Dr in Austin (TX)","Public Assist","Normal","Dog","Neutered","Female","Boston Terrier Mix","Black Brindle/White","true"
13.0,2000.0,"A667186",11/14/13 10:53 AM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Miniature Poodle Mix","Black","false"
0.0,2013.0,"A667187",11/14/13 11:06 AM,"3202 Stardust Dr in Austin (TX)","Stray","Normal","Cat","Intact","Female","Domestic Medium Hair Mix","Calico","false"
7.0,2006.0,"A667188",11/14/13 11:23 AM,"S 1St St/W Ben White Blvd in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Chow Chow","Red/Black","true"
0.0,2013.0,"A667192",11/14/13 12:04 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Dachshund Mix","Red/White","false"
8.0,2006.0,"A667195",11/14/13 11:50 AM,"Vail Divide And Swill Alps in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Labrador Retriever/Beagle","Black/White","true"
7.0,2006.0,"A667196",11/14/13 12:45 PM,"Pecan St/Dessau Rd in Pflugerville (TX)","Stray","Sick","Dog","Intact","Male","Jack Russell Terrier","White/Brown","false"
0.0,2013.0,"A667197",11/14/13 12:47 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Male","Domestic Medium Hair Mix","Blue","false"
0.0,2013.0,"A667199",11/14/13 12:47 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Male","Domestic Medium Hair Mix","Black","false"
0.0,2013.0,"A667200",11/14/13 12:47 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Male","Domestic Medium Hair Mix","Blue/White","false"
0.0,2013.0,"A667201",11/14/13 1:09 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Orange Tabby","true"
3.0,2013.0,"A667201",11/14/13 1:09 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Female","Domestic Shorthair Mix","Orange Tabby","true"
0.0,2013.0,"A667201",12/10/15 11:03 AM,"Austin (TX)","Owner Surrender","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Orange Tabby","true"
3.0,2013.0,"A667201",12/10/15 11:03 AM,"Austin (TX)","Owner Surrender","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Orange Tabby","true"
0.0,2013.0,"A667203",12/10/15 11:03 AM,"Austin (TX)","Owner Surrender","Normal","Cat","Neutered","Male","Domestic Shorthair Mix","Orange Tabby","true"
2.0,2013.0,"A667203",12/10/15 11:03 AM,"Austin (TX)","Owner Surrender","Normal","Cat","Neutered","Male","Domestic Shorthair Mix","Orange Tabby","true"
0.0,2013.0,"A667203",11/14/13 1:09 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Orange Tabby","true"
2.0,2013.0,"A667203",11/14/13 1:09 PM,"Austin (TX)","Owner Surrender","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Orange Tabby","true"
2.0,2011.0,"A667204",11/14/13 1:57 PM,"183 in Austin (TX)","Stray","Normal","Dog","Neutered","Female","Lhasa Apso Mix","White/Black","false"
0.0,2013.0,"A667205",11/14/13 2:20 PM,"1305 W. 1626 in Austin (TX)","Stray","Normal","Dog","Intact","Male","Pit Bull Mix","Fawn","false"
2.0,2011.0,"A667206",11/14/13 2:37 PM,"Cuernevaca Dr S/Wolf Ranch Rd in Austin (TX)","Stray","Normal","Cat","Neutered","Male","Domestic Medium Hair Mix","Brown Tabby","false"
0.0,2013.0,"A667207",11/14/13 3:13 PM,"9807 620 in Austin (TX)","Stray","Normal","Dog","Intact","Male","Australian Kelpie Mix","Black/White","true"
0.0,2013.0,"A667209",11/14/13 3:24 PM,"Gessner in Austin (TX)","Stray","Normal","Dog","Intact","Male","Pit Bull/Labrador Retriever","Brown Brindle/Blue Cream","true"
3.0,2010.0,"A667210",11/14/13 3:42 PM,"7000 Brook Valley Circle in Austin (TX)","Stray","Normal","Dog","Intact","Female","Chihuahua Shorthair Mix","White/Chocolate","true"
3.0,2011.0,"A667218",11/14/13 4:12 PM,"1200 E 13Th St in Austin (TX)","Stray","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Calico","false"
2.0,2011.0,"A667218",11/14/13 4:12 PM,"1200 E 13Th St in Austin (TX)","Stray","Normal","Cat","Neutered","Female","Domestic Shorthair Mix","Calico","false"
2.0,2012.0,"A667218",3/16/14 4:30 PM,"1202 E 13Th St in Austin (TX)","Stray","Injured","Cat","Neutered","Female","Domestic Shorthair Mix","Calico","false"
